height, period, average_height, average_period, estimated_period, ex_size, mean_weight_vel, acc_std_dev, average_corected_height
0.4, 2, 0.37518287491645186, 2.0038684210526316, 2.002675, 26, 0.05, 1.4711553592776392, 0.4053708548357015
0.4, 3, 0.36424032478160556, 3.01925, 2.9877735849056597, 38, 0.05, 0.8516394862234771, 0.3940314246441508
0.4, 4, 0.3521789458411352, 3.9890555555555554, 4.01025, 52, 0.04, 0.3912687334234829, 0.38153258636387055
0.5, 2, 0.47495484689530815, 2.000236842105263, 1.9962716049382714, 25, 0.05, 1.8345848275000376, 0.5087614993733761
0.5, 3, 0.47490124481053364, 3.0058800000000003, 3.003222222222222, 39, 0.05, 0.8345494182975725, 0.5087059531715377
0.5, 4, 0.4591789443238334, 3.991833333333333, 3.98425641025641, 51, 0.04, 0.47605813775143874, 0.4924134138070814
0.6, 3, 0.573340632081132, 2.97876, 2.988481481481481, 38, 0.05, 1.0046166077941916, 0.6107156809130899
0.6, 4, 0.5465298207485016, 3.9806666666666666, 3.9942051282051283, 51, 0.04, 0.6481817488947473, 0.5829324567341984
0.6, 5, 0.5329184699972174, 5.007714285714286, 4.9805625, 64, 0.03, 0.3822443020555809, 0.5688274300489298
0.7, 3, 0.6623937648139937, 2.9962083333333336, 3.0061509433962263, 39, 0.05, 1.1545990082449182, 0.7029987200145014
0.7, 4, 0.666550362290484, 4.015777777777778, 4.041, 52, 0.04, 0.661024415296091, 0.7073060749124187
0.7, 5, 0.6343925140363679, 5.027500000000001, 5.0219375, 65, 0.03, 0.43316547414822226, 0.6739818798304329
0.8, 3, 0.7734859981404596, 3.00204, 3.011518518518518, 39, 0.05, 1.333523576614944, 0.818120205326901
0.8, 4, 0.7511385948008588, 3.9628235294117644, 3.9623, 51, 0.04, 0.8897908148409668, 0.7949622744050348
0.8, 5, 0.7573526880864209, 4.991357142857142, 5.0359375, 65, 0.03, 0.4979621989474535, 0.8014017493123534
0.9, 3, 0.8648967617223381, 2.9951250000000003, 2.996188679245283, 38, 0.05, 1.502463819200205, 0.9128463852044956
0.9, 4, 0.8667208913892694, 3.9907222222222227, 4.0044615384615385, 52, 0.04, 0.8286475953522817, 0.9147366750147872
0.9, 5, 0.8607237776890814, 4.915857142857142, 5.038749999999999, 65, 0.03, 0.5689680775197538, 0.908522049418737
1.0, 4, 0.9672262785760367, 4.01729411764706, 4.028307692307693, 52, 0.04, 0.9307151660303014, 1.0188873353119552
1.0, 5, 0.970779028663082, 4.972285714285715, 5.004451612903226, 65, 0.03, 0.6817158107404125, 1.022568941619774
1.0, 6, 0.9465292701101965, 5.919818181818181, 6.003076923076923, 78, 0.03, 0.44492078327782425, 0.9974396581452816
1.1, 4, 1.0732086975820605, 4.014888888888889, 4.032358974358974, 52, 0.04, 1.0518109997038052, 1.1287136762508398
1.1, 5, 1.057565218585823, 4.991500000000001, 5.0149375, 65, 0.03, 0.7115507425902216, 1.1125028171873812
1.1, 6, 1.0474270945088577, 6.02081818181818, 5.926666666666667, 77, 0.03, 0.5077265756219275, 1.10199698912835
1.2, 4, 1.190208280022218, 4.015833333333334, 4.041282051282051, 52, 0.04, 1.187022866109725, 1.249956766862402
1.2, 5, 1.1412981176520824, 5.019928571428572, 4.9368484848484835, 64, 0.03, 0.7794650971305196, 1.1992726607793596
1.2, 6, 1.169594208320972, 6.043272727272727, 5.8111851851851855, 75, 0.03, 0.5671048930727627, 1.2285950345295047
1.3, 4, 1.264789250799796, 3.9875000000000003, 4.031899999999999, 52, 0.04, 1.2598871720648634, 1.3272427469427936
1.3, 5, 1.2810153928669241, 4.956499999999999, 4.806424242424242, 62, 0.03, 0.9948135388421642, 1.3440574019346363
1.3, 6, 1.1856406359293623, 5.998600000000001, 4.982193548387097, 64, 0.03, 0.7995040090683925, 1.2452234569216192
1.4, 5, 1.3386622993811403, 4.965357142857142, 4.9845625, 64, 0.03, 0.9464099053789969, 1.4037951288923736
1.4, 6, 1.3332537235689577, 6.0565454545454545, 6.101384615384616, 79, 0.03, 0.6208488706108898, 1.398190387118091
1.4, 7, 1.3022401780347717, 6.992666666666666, 7.068636363636364, 91, 0.02, 0.5099630002342065, 1.366051997963494
1.5, 5, 1.4427679866918035, 4.984785714285714, 5.089354838709678, 66, 0.03, 1.0576275583696633, 1.5116766701469468
1.5, 6, 1.4026754333514837, 5.986636363636364, 5.959384615384615, 77, 0.03, 0.7337395234693228, 1.4701299827476517
1.5, 7, 1.423602554542951, 7.102, 6.89704347826087, 89, 0.02, 0.5526443542360634, 1.4918161186973586
1.6, 5, 1.4821989122402717, 5.021230769230769, 4.559764705882353, 59, 0.03, 1.1701465773690667, 1.5525377328914738
1.6, 6, 1.5460051016082035, 6.066818181818181, 5.876592592592593, 76, 0.03, 0.7444137950910519, 1.6186581363815582
1.6, 7, 1.5314510500208902, 6.902444444444445, 7.185818181818183, 93, 0.02, 0.6009048116104145, 1.6035762176382284
1.7, 6, 1.5890894892397671, 5.8947, 5.824222222222222, 75, 0.03, 0.8459058613587436, 1.6633051701966497
1.7, 7, 1.5694554082446428, 7.052333333333333, 7.0640909090909085, 91, 0.02, 0.6207628246964398, 1.6429589722742408
1.7, 8, 1.613453041636443, 8.094000000000001, 7.410090909090909, 96, 0.02, 0.5124253035206157, 1.6885523747527909
1.8, 6, 1.6891376864894583, 6.1225000000000005, 6.0816923076923075, 79, 0.03, 0.8741782204140384, 1.766982058538299
1.8, 7, 1.6278670460381444, 6.8198888888888884, 6.704434782608695, 87, 0.02, 0.7330351113943838, 1.7034891668789065
1.8, 8, 1.697959766890659, 8.008375000000001, 7.74504761904762, 100, 0.02, 0.5276486116865005, 1.776124110767522
